clock_offset,imu_longitude,imu_latitude,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_composite,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,battery_very_low,battery_level1,batter_go_home,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty3,velocity_uncertainty3,flight_sequence,anomaly_label,anomaly_score
0.429,-106.21645362128368,39.96119404194355,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,5.2559867,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34150717,flight03,1,0.025576583123093743
0.518,-106.21645362128368,39.96119404194355,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,5.2559867,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34150717,flight03,1,0.025576583123093743
0.56,-106.21645361980887,39.9611940442364,1.0920993956949565,-2.130850348191313,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,10.002689,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34150717,flight03,1,0.024778000696004443
0.602,-106.21645361980887,39.9611940442364,1.0920993956949565,-2.130850348191313,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,10.002689,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34086338,flight03,1,0.022472718044281303
0.637,-106.21645360146329,39.9611940290593,1.100561170319835,-2.166210740823706,-117.82919205578654,-0.047891535,-0.012782514,-1.0101298,1.0113453,11.049451,0.016680842,1592.0,64.97,2.4292791942381573,0.0023131245745773,-0.0012979816364087,0.0230841384419022,0.0166948467252199,0.0056339067565446,0.030783470079342,False,-576.5715207342669,-562.3055207345132,-67.97015114025872,227.3302394092019,137.18497396955846,137.18497396955846,64755.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34086338,flight03,1,0.015144039599071069
0.728,-106.21645360146329,39.9611940290593,1.100561170319835,-2.166210740823706,-117.82919205578654,-0.047891535,-0.012782514,-1.0101298,1.0113453,11.049451,0.016680842,1592.0,64.97,2.4292791942381573,0.0023131245745773,-0.0012979816364087,0.0230841384419022,0.0166948467252199,0.0056339067565446,0.030783470079342,False,-576.5715207342669,-562.3055207345132,-67.97015114025872,227.3302394092019,137.18497396955846,137.18497396955846,64755.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34086338,flight03,1,0.015144039599071069
0.768,-106.21645360005552,39.96119402984421,1.1121940172120894,-2.062898927144797,-117.85212456396124,-0.027871925,-0.046232242,-1.0153458,1.0167799,11.856089,0.00407781,1526.0,64.95,2.3431583876429696,0.0015235436422607,-0.001419233746521,0.0236780682845161,-0.000620052558896,0.0040423241141151,-0.10935405729794,False,-576.6062897938332,-562.2392832874592,-68.08439794483239,227.3303877773116,,,64795.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.34086338,flight03,1,0.024046257879134614
0.811,-106.21645360005552,39.96119402984421,1.1121940172120894,-2.062898927144797,-117.85212456396124,-0.027871925,-0.046232242,-1.0153458,1.0167799,11.856089,0.00407781,1526.0,64.95,2.3431583876429696,0.0015235436422607,-0.001419233746521,0.0236780682845161,-0.000620052558896,0.0040423241141151,-0.10935405729794,False,-576.6062897938332,-562.2392832874592,-68.08439794483239,227.3303877773116,,,64795.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.3413111,flight03,1,0.02738732342364747
0.846,-106.21645359746344,39.96119403208821,1.1223313873948415,-2.009814927153731,-117.86264523443592,-0.039141804,0.0010805456,-1.0045154,1.0052783,9.607459,0.01084811,1529.0,65.01,2.30150360343606,0.0007916632821469,-0.0013677330413273,0.0238396263160343,0.0060597875941871,0.0065471114055153,-0.1124758909641677,False,-576.7248958489595,-562.1379956455147,-68.09772329020744,227.33072104290449,,,64835.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.3413111,flight03,1,0.03038504929100705
0.934,-106.21645359746344,39.96119403208821,1.1223313873948415,-2.009814927153731,-117.86264523443592,-0.039141804,0.0010805456,-1.0045154,1.0052783,9.607459,0.01084811,1529.0,65.01,2.30150360343606,0.0007916632821469,-0.0013677330413273,0.0238396263160343,0.0060597875941871,0.0065471114055153,-0.1124758909641677,False,-576.7248958489595,-562.1379956455147,-68.09772329020744,227.33072104290449,,,64835.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.02,ASST_TAKEOFF,0.0,0.0,16.0,35.0,0.0,False,0.0,0.3413111,flight03,1,0.03038504929100705
