clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_x,gyro_z,gyro_composite,vel_north,vel_east,vel_down,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,imu_sensor_status,imu_filter_status,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state,battery_very_low,battery_level1,battery_level2,batter_go_home,batter_land,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty1,hover_point_uncertainty2,hover_point_uncertainty3,hover_point_uncertainty4,hover_point_uncertainty5,hover_point_uncertainty6,velocity_uncertainty1,velocity_uncertainty3,velocity_uncertainty4,velocity_uncertainty6
510.913,-106.22128737583256,39.95896727478623,,-9.461839297804683,2.892199326738967,40.54891455359099,0.093948655,0.16669312,-0.96663576,0.9853921,-2.1005104,2.046405,7.515347,-0.049943935,0.13194057,-0.07821832,0.16130969,1513.0,64.97,9.878836201783688,-0.0118907786914519,0.0151271442560414,-0.0249766144389695,,,,False,-0.0286861555732684,-2.6663562092107895,-0.5795024844701402,0.02971201698733,99.23798001587272,99.23798001587272,0.0,0.0,5563.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,0.66,1.09,7.59,8.0,-0.01,-0.03,0.07,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98946434,0.0019999999,0.0019999999
510.954,-106.22128737583256,39.95896727478623,,-9.461839297804683,2.892199326738967,40.54891455359099,0.093948655,0.16669312,-0.96663576,0.9853921,-2.1005104,2.046405,7.515347,-0.049943935,0.13194057,-0.07821832,0.16130969,1513.0,64.97,9.878836201783688,-0.0118907786914519,0.0151271442560414,-0.0249766144389695,,,,False,-0.0286861555732684,-2.6663562092107895,-0.5795024844701402,0.02971201698733,99.23798001587272,99.23798001587272,0.0,0.0,5563.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.45,0.66,1.09,7.59,8.0,-0.04,0.01,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98865455,0.0019999999,0.0019999999
510.987,-106.2212872514131,39.9589672822901,,-10.070863525411152,4.072896726689926,40.696655130494335,0.082129255,0.17432804,-0.9070377,0.9272825,-7.058672,1.5523355,14.19286,-0.037614167,0.16429627,-0.036276113,0.17240663,1507.0,65.0,10.832320477217497,-0.0162689509907068,0.0299398904426766,-0.0307016854364405,0.0090302503517619,-0.0922838610536879,-0.1508869423984105,False,0.1512618557962923,-3.124343276322179,0.3772774296012358,0.0403492408676961,85.50105006146129,85.50105006146129,0.0,0.0,5603.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.45,0.66,1.09,7.59,8.0,-0.04,0.01,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98865455,0.0019999999,0.0019999999
511.072,-106.2212872514131,39.9589672822901,,-10.070863525411152,4.072896726689926,40.696655130494335,0.082129255,0.17432804,-0.9070377,0.9272825,-7.058672,1.5523355,14.19286,-0.037614167,0.16429627,-0.036276113,0.17240663,1507.0,65.0,10.832320477217497,-0.0162689509907068,0.0299398904426766,-0.0307016854364405,0.0090302503517619,-0.0922838610536879,-0.1508869423984105,False,0.1512618557962923,-3.124343276322179,0.3772774296012358,0.0403492408676961,85.50105006146129,85.50105006146129,0.0,0.0,5603.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.45,0.66,1.09,7.59,8.0,-0.04,0.01,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98865455,0.0019999999,0.0019999999
511.113,-106.2212870665715,39.958967198496886,,-10.284886033160578,4.223238719877622,40.8122041714083,0.08464451,0.17957932,-0.95830137,0.97864956,0.34865254,2.4649866,2.5171478,-0.0050719306,0.183162,0.025135756,0.18494822,1504.0,65.0,11.0843182802049,-0.0184040374626874,0.0473191662522936,-0.031258907307631,-0.0235119857975491,-0.1111495953924483,-0.2122988111792618,False,0.3522015183325493,-3.459967110929938,1.006846075182693,0.0586525709816115,120.60082833445011,120.60082833445011,0.0,0.0,5643.0,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.45,0.66,1.09,7.59,8.0,-0.04,0.01,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98865455,0.0019999999,0.0019999999
511.154,-106.2212870665715,39.958967198496886,,-10.284886033160578,4.223238719877622,40.8122041714083,0.08464451,0.17957932,-0.95830137,0.97864956,0.34865254,2.4649866,2.5171478,-0.0050719306,0.183162,0.025135756,0.18494822,1504.0,65.0,11.0843182802049,-0.0184040374626874,0.0473191662522936,-0.031258907307631,-0.0235119857975491,-0.1111495953924483,-0.2122988111792618,False,0.3522015183325493,-3.459967110929938,1.006846075182693,0.0586525709816115,120.60082833445011,120.60082833445011,0.0,0.0,5643.0,-106.2212874,39.9589672,2018-06-19 20:11:27+00:00,2521.457,0.66,1.09,7.59,8.0,-0.02,0.12,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98782265,0.0019999999,0.0019999999
511.187,-106.2212868745794,39.958967122415984,,-10.257068934594953,4.779083982292803,40.9076860153546,0.081844404,0.18540964,-0.9817768,1.0024774,-2.118107,-0.78905696,9.054144,-0.0047092997,0.19256544,0.025282145,0.1942751,1513.0,65.01,11.273387992973204,-0.0188931288246863,0.0661066851258169,-0.028737858440138,-0.0238746167310722,-0.1205530327684707,-0.2124452001868302,False,0.4360031131618598,-3.5484452378177593,1.4638428520102025,0.0770737837814087,117.33826056645924,117.33826056645924,0.0,0.0,5683.0,-106.2212874,39.9589672,2018-06-19 20:11:27+00:00,2521.457,0.66,1.09,7.59,8.0,-0.02,0.12,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98782265,0.0019999999,0.0019999999
511.274,-106.2212868745794,39.958967122415984,,-10.257068934594953,4.779083982292803,40.9076860153546,0.081844404,0.18540964,-0.9817768,1.0024774,-2.118107,-0.78905696,9.054144,-0.0047092997,0.19256544,0.025282145,0.1942751,1513.0,65.01,11.273387992973204,-0.0188931288246863,0.0661066851258169,-0.028737858440138,-0.0238746167310722,-0.1205530327684707,-0.2124452001868302,False,0.4360031131618598,-3.5484452378177593,1.4638428520102025,0.0770737837814087,117.33826056645924,117.33826056645924,0.0,0.0,5683.0,-106.2212874,39.9589672,2018-06-19 20:11:27+00:00,2521.457,0.66,1.09,7.59,8.0,-0.02,0.12,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98782265,0.0019999999,0.0019999999
511.313,-106.22128667043133,39.9589671322127,,-10.453545281155703,5.092636216427534,40.93379273795082,0.07075761,0.19846958,-0.98550797,1.0077811,-8.696309,1.0888153,10.041049,-0.0115425605,0.19949064,0.017797247,0.20061527,1511.0,64.93,11.579422058964177,-0.019705523447044,0.0857047031709612,-0.0265844147555185,-0.0440801956756498,-0.0344410371652399,-0.2668054858185658,False,0.450987372736563,-4.089034034407632,1.6571621709426836,0.0945076800442341,86.41757744715991,86.41757744715991,0.0,0.0,5723.0,-106.2212874,39.9589672,2018-06-19 20:11:27+00:00,2521.457,0.66,1.09,7.59,8.0,-0.02,0.12,0.02,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98782265,0.0019999999,0.0019999999
511.354,-106.22128667043133,39.9589671322127,,-10.453545281155703,5.092636216427534,40.93379273795082,0.07075761,0.19846958,-0.98550797,1.0077811,-8.696309,1.0888153,10.041049,-0.0115425605,0.19949064,0.017797247,0.20061527,1511.0,64.93,11.579422058964177,-0.019705523447044,0.0857047031709612,-0.0265844147555185,-0.0440801956756498,-0.0344410371652399,-0.2668054858185658,False,0.450987372736563,-4.089034034407632,1.6571621709426836,0.0945076800442341,86.41757744715991,86.41757744715991,0.0,0.0,5723.0,-106.2212871,39.9589673,2018-06-19 20:11:27+00:00,2521.439,0.66,1.09,7.59,8.0,0.0,0.15,0.04,GPS_Atti,1.0,0.0,0.0,0.0,20.0,10.0,73.0,14.0,False,0.031999998,0.0,0.0,0.031999998,0.0,0.031999998,0.0019999999,0.98725516,0.0019999999,0.0019999999
