clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,accel_x,accel_y,accel_z,accel_composite,gyro_x,gyro_z,gyro_composite,vel_north,vel_east,vel_down,vel_composite,compass_interference,temperature,tilt_inclination,imu_pos_north,imu_pos_east,imu_pos_down,delta_vel_north,delta_vel_east,delta_vel_down,pos_error,total_gyro_z,total_gyro_x,total_gyro_y,dist_travelled,direction_travel_magnetic,direction_travel_true,imu_sensor_status,imu_filter_status,altitude_counter,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_hdop,gps_pdop,gps_speed_accuracy,num_satellites,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state,battery_very_low,battery_level1,battery_level2,batter_go_home,batter_land,batter_go_home_time,batter_land_time,oa_emergency_brake,hover_point_uncertainty1,hover_point_uncertainty2,hover_point_uncertainty3,hover_point_uncertainty4,hover_point_uncertainty5,hover_point_uncertainty6,velocity_uncertainty1,velocity_uncertainty3,velocity_uncertainty4,velocity_uncertainty6
0.429,-106.21645362128368,39.96119404194355,-1.6176755937499363,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,0.3906642,5.234946,5.2559867,0.008703623,-0.0032450943,0.04109267,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615474,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,0.0,0.0,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,0.00010554018,0.34150717,0.00010553429,0.0001055366
0.518,-106.21645362128368,39.96119404194355,-1.6176755937499363,1.1064775535953233,-2.1916771496534464,-117.8026675382875,-0.06378325,0.024505196,-1.0134343,1.0157351,0.3906642,5.234946,5.2559867,0.008703623,-0.0032450943,0.04109267,0.042129457,1542.0,64.97,2.4546598311763232,0.0021550621201882,-0.0007831889367615474,0.0183808060621117,-0.0034765720608289,0.0048053928809409,0.0010989488214647,False,-576.3775600616223,-562.3763016187035,-67.90265899212373,227.32765454509945,,,0.0,0.0,64675.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,0.00010554018,0.34150717,0.00010553429,0.0001055366
0.56,-106.21645361980887,39.9611940442364,-1.2768552812499363,1.0920993956949565,-2.1308503481913132,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,0.25085306,-9.995104,10.002689,0.0028996342,-0.0012831413,0.01890599,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,0.0,0.0,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,0.75,1.27,7.3,8.0,-0.01,0.0,0.03,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016886429,0.0,0.0,0.0016885486,0.0,0.0016885856,0.00010554018,0.34150717,0.00010553429,0.0001055366
0.602,-106.21645361980887,39.9611940442364,-1.2768552812499363,1.0920993956949565,-2.1308503481913132,-117.8983748434956,-0.027325,-0.04557693,-1.00454,1.0059446,0.25085306,-9.995104,10.002689,0.0028996342,-0.0012831413,0.01890599,0.01917005,1486.0,64.99,2.3939520991592897,0.002759339413032,-0.0010190115114276,0.0215054311681228,0.0023274167199973,0.0028434398742562,0.0232856304496919,False,-576.6254607492679,-562.342892524768,-67.93176846548168,227.32793879915377,,,0.0,0.0,64715.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016879053,0.0,0.0,0.0016878967,0.0,0.0016878969,0.00010549408,0.34086338,0.00010549354,0.00010549356
0.637,-106.21645360146329,39.9611940290593,-1.2663572343749363,1.100561170319835,-2.166210740823706,-117.82919205578654,-0.047891535,-0.012782514,-1.0101298,1.0113453,0.4667554,11.030853,11.049451,-0.011467796,-0.004073608,0.01140815,0.016680842,1592.0,64.97,2.4292791942381573,0.0023131245745773,-0.0012979816364087,0.0230841384419022,0.0166948467252199,0.0056339067565446,0.030783470079342,False,-576.5715207342669,-562.3055207345132,-67.97015114025872,227.3302394092019,137.18497396955846,137.18497396955846,0.0,0.0,64755.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016879053,0.0,0.0,0.0016878967,0.0,0.0016878969,0.00010549408,0.34086338,0.00010549354,0.00010549356
0.728,-106.21645360146329,39.9611940290593,-1.2663572343749363,1.100561170319835,-2.166210740823706,-117.82919205578654,-0.047891535,-0.012782514,-1.0101298,1.0113453,0.4667554,11.030853,11.049451,-0.011467796,-0.004073608,0.01140815,0.016680842,1592.0,64.97,2.4292791942381573,0.0023131245745773,-0.0012979816364087,0.0230841384419022,0.0166948467252199,0.0056339067565446,0.030783470079342,False,-576.5715207342669,-562.3055207345132,-67.97015114025872,227.3302394092019,137.18497396955846,137.18497396955846,0.0,0.0,64755.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016879053,0.0,0.0,0.0016878967,0.0,0.0016878969,0.00010549408,0.34086338,0.00010549354,0.00010549356
0.768,-106.21645360005552,39.96119402984421,-1.9003904374999363,1.1121940172120894,-2.0628989271447975,-117.85212456396124,-0.027871925,-0.046232242,-1.0153458,1.0167799,0.8043829,-11.698093,11.856089,-0.0036847594,0.0017467039,-1.0262593e-05,0.00407781,1526.0,64.95,2.3431583876429696,0.0015235436422607,-0.001419233746521,0.0236780682845161,-0.0006200525588960261,0.0040423241141151,-0.10935405729794,False,-576.6062897938332,-562.2392832874592,-68.08439794483239,227.33038777731156,,,0.0,0.0,64795.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.665,0.75,1.27,7.3,8.0,-0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016879053,0.0,0.0,0.0016878967,0.0,0.0016878969,0.00010549408,0.34086338,0.00010549354,0.00010549356
0.811,-106.21645360005552,39.96119402984421,-1.9003904374999363,1.1121940172120894,-2.0628989271447975,-117.85212456396124,-0.027871925,-0.046232242,-1.0153458,1.0167799,0.8043829,-11.698093,11.856089,-0.0036847594,0.0017467039,-1.0262593e-05,0.00407781,1526.0,64.95,2.3431583876429696,0.0015235436422607,-0.001419233746521,0.0236780682845161,-0.0006200525588960261,0.0040423241141151,-0.10935405729794,False,-576.6062897938332,-562.2392832874592,-68.08439794483239,227.33038777731156,,,0.0,0.0,64795.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016868942,0.0,0.0,0.0016868527,0.0,0.0016868785,0.00010543089,0.3413111,0.00010542829,0.00010542991
0.846,-106.21645359746344,39.96119403208821,-1.3771970781249363,1.1223313873948415,-2.009814927153731,-117.86264523443592,-0.039141804,0.0010805456,-1.0045154,1.0052783,1.13996,9.421302,9.607459,-0.0103645995,-0.0007580834,0.003111571,0.01084811,1529.0,65.01,2.30150360343606,0.0007916632821469705,-0.0013677330413273,0.0238396263160343,0.0060597875941871,0.0065471114055153,-0.1124758909641677,False,-576.7248958489595,-562.1379956455147,-68.09772329020744,227.33072104290449,,,0.0,0.0,64835.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016868942,0.0,0.0,0.0016868527,0.0,0.0016868785,0.00010543089,0.3413111,0.00010542829,0.00010542991
0.934,-106.21645359746344,39.96119403208821,-1.3771970781249363,1.1223313873948415,-2.009814927153731,-117.86264523443592,-0.039141804,0.0010805456,-1.0045154,1.0052783,1.13996,9.421302,9.607459,-0.0103645995,-0.0007580834,0.003111571,0.01084811,1529.0,65.01,2.30150360343606,0.0007916632821469705,-0.0013677330413273,0.0238396263160343,0.0060597875941871,0.0065471114055153,-0.1124758909641677,False,-576.7248958489595,-562.1379956455147,-68.09772329020744,227.33072104290449,,,0.0,0.0,64835.0,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.75,1.27,7.3,8.0,0.01,0.0,0.02,ASST_TAKEOFF,1.0,0.0,0.0,0.0,16.0,10.0,35.0,0.0,False,0.0016868942,0.0,0.0,0.0016868527,0.0,0.0016868785,0.00010543089,0.3413111,0.00010542829,0.00010542991
