clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,vel_north,vel_east,vel_down,vel_composite,vel_horizontal,yaw_UnWrapped,yaw360,imu_pos_north,imu_pos_east,imu_pos_down,imu_calc_height,imu_calc_lat,imu_calc_long,dist_travelled,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
510.513,-106.22128748309076,39.95896744028825,,-5.792827949148777,5.478692163170334,40.55582554661389,0.013826042,-0.02641076,0.013233513,0.032616153,0.0298108650476211,40.55582554661389,40.5558255466139,0.0,0.0,0.0,-0.0,,,0.0,,,,,,,,GPS_Atti,1.0
510.556,-106.22128748309076,39.95896744028825,,-5.792827949148777,5.478692163170334,40.55582554661389,0.013826042,-0.02641076,0.013233513,0.032616153,0.0298108650476211,40.55582554661389,40.5558255466139,0.0,0.0,0.0,-0.0,,,0.0,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.11,-0.08,0.12,GPS_Atti,1.0
510.596,-106.22128753171444,39.958967446958354,,-6.070736184600664,4.080475083732314,40.447572317502456,-0.069627374,0.0013535284,-0.08502655,0.10990594,0.0696405282025245,40.447572317502456,40.44757231750248,0.0,0.0,0.0,-0.0,39.958967446958354,-106.22128753171444,0.0042101125864859,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.11,-0.08,0.12,GPS_Atti,1.0
510.672,-106.22128753171444,39.958967446958354,,-6.070736184600664,4.080475083732314,40.447572317502456,-0.069627374,0.0013535284,-0.08502655,0.10990594,0.0696405282025245,40.447572317502456,40.44757231750248,0.0,0.0,0.0,-0.0,39.958967446958354,-106.22128753171444,0.0042101125864859,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.11,-0.08,0.12,GPS_Atti,1.0
510.713,-106.2212875048999,39.95896735941321,,-8.297070231943662,1.8986452830481808,40.38168311754213,-0.056947716,0.020835828,-0.1145564,0.12961614,0.0606397082458048,40.38168311754213,40.38168311754214,-0.0028484285228387,0.0010421729172094,-0.0057299176887681,0.0057299176887681,39.95896742134182,-106.22128751948688,0.0142093736790807,-106.2212875,39.9589674,2018-06-19 20:11:27+00:00,2521.425,0.11,-0.08,0.12,GPS_Atti,1.0
510.756,-106.2212875048999,39.95896735941321,,-8.297070231943662,1.8986452830481808,40.38168311754213,-0.056947716,0.020835828,-0.1145564,0.12961614,0.0606397082458048,40.38168311754213,40.38168311754214,-0.0028484285228387,0.0010421729172094,-0.0057299176887681,0.0057299176887681,39.95896742134182,-106.22128751948688,0.0142093736790807,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,-0.01,-0.03,0.07,GPS_Atti,1.0
510.798,-106.2212874326794,39.95896728187322,,-9.194116449546414,2.368371835141221,40.50907619382121,-0.036972158,0.06445292,-0.09606786,0.12145021,0.0743042303028546,40.50907619382121,40.509076193821215,-0.0075447088054261,0.0053068704187921,-0.0162617735975345,0.0162617735975345,39.958967379107165,-106.2212874694502,0.0248032140587201,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,-0.01,-0.03,0.07,GPS_Atti,1.0
510.874,-106.2212874326794,39.95896728187322,,-9.194116449546414,2.368371835141221,40.50907619382121,-0.036972158,0.06445292,-0.09606786,0.12145021,0.0743042303028546,40.50907619382121,40.509076193821215,-0.0075447088054261,0.0053068704187921,-0.0162617735975345,0.0162617735975345,39.958967379107165,-106.2212874694502,0.0248032140587201,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,-0.01,-0.03,0.07,GPS_Atti,1.0
510.913,-106.22128737583256,39.95896727478623,,-9.461839297804683,2.892199326738967,40.54891455359099,-0.049943935,0.13194057,-0.07821832,0.16130969,0.1410769709561971,40.54891455359099,40.548914553590976,-0.0118907786914519,0.0151271442560414,-0.0249766144389695,0.0249766144389695,39.958967340022014,-106.22128735423126,0.02971201698733,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.436,-0.01,-0.03,0.07,GPS_Atti,1.0
510.954,-106.22128737583256,39.95896727478623,,-9.461839297804683,2.892199326738967,40.54891455359099,-0.049943935,0.13194057,-0.07821832,0.16130969,0.1410769709561971,40.54891455359099,40.548914553590976,-0.0118907786914519,0.0151271442560414,-0.0249766144389695,0.0249766144389695,39.958967340022014,-106.22128735423126,0.02971201698733,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.45,-0.04,0.01,0.02,GPS_Atti,1.0
510.987,-106.2212872514131,39.9589672822901,,-10.070863525411152,4.072896726689926,40.696655130494335,-0.037614167,0.16429627,-0.036276113,0.17240663,0.1685469953830607,40.696655130494335,40.69665513049432,-0.0162689509907068,0.0299398904426766,-0.0307016854364405,0.0307016854364405,39.95896730064817,-106.22128718043685,0.0403492408676961,-106.2212876,39.9589673,2018-06-19 20:11:27+00:00,2521.45,-0.04,0.01,0.02,GPS_Atti,1.0
