clock_offset,imu_longitude,imu_latitude,imu_rel_height,roll,pitch,yaw,vel_north,vel_east,vel_down,vel_composite,vel_horizontal,yaw_UnWrapped,yaw360,imu_pos_north,imu_pos_east,imu_pos_down,imu_calc_height,imu_calc_lat,imu_calc_long,dist_travelled,gps_longitude,gps_latitude,gps_timestamp,gps_heightMSL,gps_vel_north,gps_vel_east,gps_vel_down,control_mode,motor_state
-344.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,-106.21645369611862,39.961194018533035,-2.224853531250119,1.0977243478920828,-2.1533991327650197,-117.8473374872386,0.0015750516,0.003628103,0.04846735,0.048628468,0.0039552395693477,-117.8473374872386,242.15266251276145,0.0,0.0,0.0,-0.0,,,227.3194764550088,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.0,0.0,0.02,GPS_Atti,0.0
0.039,-106.21645369245395,39.96119402595874,-0.5461423906249365,1.1192893077642834,-2.15538419266072,-117.84631036744832,0.0038667524,0.0017415346,0.043273862,0.043481167,0.0042408390288617,-117.84631036744832,242.15368963255168,0.0,0.0,0.0,-0.0,39.96119402595874,-106.21645369245395,227.32035925406652,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.0,0.0,0.02,GPS_Atti,0.0
0.101,-106.21645369245395,39.96119402595874,-0.5461423906249365,1.1192893077642834,-2.15538419266072,-117.84631036744832,0.0038667524,0.0017415346,0.043273862,0.043481167,0.0042408390288617,-117.84631036744832,242.15368963255168,0.0,0.0,0.0,-0.0,39.96119402595874,-106.21645369245395,227.32035925406652,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.0,0.0,0.02,GPS_Atti,0.0
0.143,-106.21645362700411,39.96119402725498,-0.9597166093749364,1.1199765118286515,-2.1770453240893075,-118.033396219192,0.0048563336,-0.002386897,0.060550015,0.06079133,0.0054112156382051,-118.033396219192,241.966603780808,0.0002529834429623179,-0.00012434183826570688,0.0031542625830525,-0.0031542625830525,39.96119402823389,-106.21645369391288,227.32593931568837,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.657,0.0,0.0,0.02,ASST_TAKEOFF,1.0
0.186,-106.21645362700411,39.96119402725498,-0.9597166093749364,1.1199765118286515,-2.1770453240893075,-118.033396219192,0.0048563336,-0.002386897,0.060550015,0.06079133,0.0054112156382051,-118.033396219192,241.966603780808,0.0002529834429623179,-0.00012434183826570688,0.0031542625830525,-0.0031542625830525,39.96119402823389,-106.21645369391288,227.32593931568837,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.01,0.0,0.01,ASST_TAKEOFF,1.0
0.221,-106.21645362383109,39.961194033075046,-0.7087400468749365,1.1243535672124638,-2.158394032530052,-117.57170905993164,-0.0038298126,-0.00113953,0.05942085,0.059555043,0.0039957469830689,-117.57170905993164,242.4282909400683,0.0003064741826577233,-0.00030809959726596503,0.0094057961805447,-0.0094057961805447,39.961194028714935,-106.21645369606894,227.3266407091995,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.01,0.0,0.01,ASST_TAKEOFF,1.0
0.311,-106.21645362383109,39.961194033075046,-0.7087400468749365,1.1243535672124638,-2.158394032530052,-117.57170905993164,-0.0038298126,-0.00113953,0.05942085,0.059555043,0.0039957469830689,-117.57170905993164,242.4282909400683,0.0003064741826577233,-0.00030809959726596503,0.0094057961805447,-0.0094057961805447,39.961194028714935,-106.21645369606894,227.3266407091995,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.01,0.0,0.01,ASST_TAKEOFF,1.0
0.352,-106.21645362204345,39.961194037396936,-1.1552732499999363,1.1272392590249392,-2.1635152429893445,-117.95014416369835,0.015321984,-0.0023712534,0.035928946,0.03913151,0.0155043878207487,-117.95014416369835,242.0498558363016,0.0009053170335207028,-0.000491042184567192,0.0143743562656482,-0.0143743562656482,39.96119403410045,-106.21645369821545,227.32714485465996,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.664,0.01,0.0,0.01,ASST_TAKEOFF,1.0
0.389,-106.21645362204345,39.961194037396936,-1.1552732499999363,1.1272392590249392,-2.1635152429893445,-117.95014416369835,0.015321984,-0.0023712534,0.035928946,0.03913151,0.0155043878207487,-117.95014416369835,242.0498558363016,0.0009053170335207028,-0.000491042184567192,0.0143743562656482,-0.0143743562656482,39.96119403410045,-106.21645369821545,227.32714485465996,-106.2164536,39.961194,2018-06-19 20:08:27+00:00,2485.659,-0.01,0.0,0.03,ASST_TAKEOFF,1.0
